product,uf,volume,year_month,unit
ÓLEO DIESEL S-1800 (m3),ACRE,14139.166,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),AMAZONAS,97615.793,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),RORAIMA,5462.8,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARÁ,138496.156,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),AMAPÁ,36902.285,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),TOCANTINS,58116.55,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),MARANHÃO,12291.8,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),PIAUÍ,10.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),CEARÁ,34480.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO NORTE,48146.9,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARAÍBA,61.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),PERNAMBUCO,267.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),ALAGOAS,0.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),SERGIPE,0.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),BAHIA,0.0,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),MINAS GERAIS,366934.587,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),ESPÍRITO SANTO,380.45,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO DE JANEIRO,52102.783,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),SÃO PAULO,243383.286,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARANÁ,14536.469,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),SANTA CATARINA,74259.53,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO SUL,129263.354,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),MATO GROSSO DO SUL,84477.19,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),MATO GROSSO,2381033.995,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),GOIÁS,149833.82,2013-01-01,m3
ÓLEO DIESEL S-1800 (m3),DISTRITO FEDERAL,29075.876,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RONDÔNIA,2027.049,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ACRE,25.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),AMAZONAS,8964.348,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RORAIMA,70.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARÁ,7856.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),AMAPÁ,100.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),TOCANTINS,0.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MARANHÃO,797.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PIAUÍ,130.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),CEARÁ,400.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO NORTE,9349.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARAÍBA,141.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PERNAMBUCO,1068.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ALAGOAS,83.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SERGIPE,284.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),BAHIA,2197.058,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MINAS GERAIS,0.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ESPÍRITO SANTO,4046.941,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO DE JANEIRO,28093.381,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SÃO PAULO,2842.04,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARANÁ,603.9,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SANTA CATARINA,4834.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO SUL,1818.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO DO SUL,810.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO,0.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),GOIÁS,0.0,2013-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RONDÔNIA,10.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ACRE,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),AMAZONAS,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RORAIMA,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARÁ,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),AMAPÁ,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),TOCANTINS,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MARANHÃO,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PIAUÍ,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),CEARÁ,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO NORTE,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARAÍBA,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PERNAMBUCO,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ALAGOAS,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SERGIPE,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),BAHIA,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MINAS GERAIS,2.491,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ESPÍRITO SANTO,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO DE JANEIRO,893.606,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SÃO PAULO,1691.852,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARANÁ,89.777,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SANTA CATARINA,20.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO SUL,3933.312,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO DO SUL,30.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),GOIÁS,0.0,2013-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3
ÓLEO DIESEL S-10 (m3),RONDÔNIA,12517.9,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),ACRE,2253.0,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),AMAZONAS,7952.262,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),RORAIMA,1856.6,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),PARÁ,46813.45,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),AMAPÁ,891.0,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),TOCANTINS,15295.6,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),MARANHÃO,20226.5,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),PIAUÍ,167251.68,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),CEARÁ,61558.161,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO GRANDE DO NORTE,8367.0,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),PARAÍBA,13239.87,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),PERNAMBUCO,68334.0,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),ALAGOAS,9001.5,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),SERGIPE,10641.5,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),BAHIA,62844.116,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),MINAS GERAIS,122718.383,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),ESPÍRITO SANTO,19840.35,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO DE JANEIRO,96899.815,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),SÃO PAULO,266790.807,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),PARANÁ,77543.666,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),SANTA CATARINA,612054.306,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO GRANDE DO SUL,60585.175,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),MATO GROSSO DO SUL,28238.2,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),MATO GROSSO,40309.371,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),GOIÁS,50630.481,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),DISTRITO FEDERAL,15254.853,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),RONDÔNIA,59527.8,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),ACRE,11907.08,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),AMAZONAS,23598.5,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),RORAIMA,8780.2,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),PARÁ,109966.713,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),AMAPÁ,32269.1,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),TOCANTINS,49772.45,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),MARANHÃO,968961.419,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),PIAUÍ,36010.8,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),CEARÁ,42096.5,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),RIO GRANDE DO NORTE,54424.05,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),PARAÍBA,32443.66,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),PERNAMBUCO,88770.5,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),ALAGOAS,21169.4,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),SERGIPE,18352.5,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),BAHIA,230482.933,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),MINAS GERAIS,499814.073,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),ESPÍRITO SANTO,76565.994,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),RIO DE JANEIRO,118600.961,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),SÃO PAULO,648227.785,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),PARANÁ,4120736.249,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),SANTA CATARINA,138683.52,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),RIO GRANDE DO SUL,249793.122,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),MATO GROSSO DO SUL,108645.1,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),MATO GROSSO,205202.443,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),GOIÁS,245885.068,2014-01-01,m3
ÓLEO DIESEL S-500 (m3),DISTRITO FEDERAL,23053.277,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),RONDÔNIA,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),ACRE,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),AMAZONAS,64226.892,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),RORAIMA,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARÁ,5560.815,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),AMAPÁ,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),TOCANTINS,20.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),MARANHÃO,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),PIAUÍ,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),CEARÁ,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO NORTE,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARAÍBA,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),PERNAMBUCO,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),ALAGOAS,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),SERGIPE,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),BAHIA,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),MINAS GERAIS,2658.18,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),ESPÍRITO SANTO,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO DE JANEIRO,931.017,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),SÃO PAULO,217410.257,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),PARANÁ,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),SANTA CATARINA,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO SUL,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),MATO GROSSO DO SUL,0.0,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),MATO GROSSO,1155.24,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),GOIÁS,673.95,2014-01-01,m3
ÓLEO DIESEL S-1800 (m3),DISTRITO FEDERAL,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RONDÔNIA,842.4,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ACRE,55.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),AMAZONAS,10470.421,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RORAIMA,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARÁ,6713.9,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),AMAPÁ,1754.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),TOCANTINS,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MARANHÃO,119.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PIAUÍ,255.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),CEARÁ,895.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO NORTE,530.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARAÍBA,78.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PERNAMBUCO,627.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ALAGOAS,35.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SERGIPE,125.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),BAHIA,1471.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MINAS GERAIS,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),ESPÍRITO SANTO,4592.052,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO DE JANEIRO,331446.113,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SÃO PAULO,3574.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),PARANÁ,525.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),SANTA CATARINA,5540.449,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO SUL,1640.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO DO SUL,180.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),GOIÁS,0.0,2014-01-01,m3
ÓLEO DIESEL MARÍTIMO (m3),DISTRITO FEDERAL,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RONDÔNIA,136.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ACRE,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),AMAZONAS,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RORAIMA,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARÁ,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),AMAPÁ,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),TOCANTINS,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MARANHÃO,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PIAUÍ,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),CEARÁ,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO NORTE,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARAÍBA,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PERNAMBUCO,405.5,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ALAGOAS,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SERGIPE,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),BAHIA,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MINAS GERAIS,11.378,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),ESPÍRITO SANTO,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO DE JANEIRO,1509.203,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SÃO PAULO,1012.19,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),PARANÁ,82.43,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),SANTA CATARINA,65.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),RIO GRANDE DO SUL,298.194,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO DO SUL,30.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),MATO GROSSO,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),GOIÁS,0.0,2014-01-01,m3
ÓLEO DIESEL (OUTROS ) (m3),DISTRITO FEDERAL,0.0,2014-01-01,m3
ÓLEO DIESEL S-10 (m3),RONDÔNIA,12499.3,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),ACRE,1917.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),AMAZONAS,8884.494,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),RORAIMA,26994.4,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),PARÁ,68228.665,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),AMAPÁ,1180.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),TOCANTINS,24056.6,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),MARANHÃO,37213.6,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),PIAUÍ,17481.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),CEARÁ,61183.03,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO GRANDE DO NORTE,8785.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),PARAÍBA,12635.94,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),PERNAMBUCO,63217.476,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),ALAGOAS,12299.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),SERGIPE,10528.404,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),BAHIA,76403.699,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),MINAS GERAIS,1681512.413,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),ESPÍRITO SANTO,27764.0,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO DE JANEIRO,114092.603,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),SÃO PAULO,375389.017,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),PARANÁ,106952.118,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),SANTA CATARINA,58469.93,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),RIO GRANDE DO SUL,61386.93,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),MATO GROSSO DO SUL,31418.25,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),MATO GROSSO,32228.4,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),GOIÁS,47626.51,2015-01-01,m3
ÓLEO DIESEL S-10 (m3),DISTRITO FEDERAL,16732.872,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),RONDÔNIA,39391.7,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),ACRE,9676.0,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),AMAZONAS,242029.416,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),RORAIMA,7214.593,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),PARÁ,110251.856,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),AMAPÁ,15306.4,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),TOCANTINS,54222.25,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),MARANHÃO,78650.374,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),PIAUÍ,32544.535,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),CEARÁ,30919.75,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),RIO GRANDE DO NORTE,38282.5,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),PARAÍBA,25883.78,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),PERNAMBUCO,93071.7,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),ALAGOAS,23369.0,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),SERGIPE,19869.4,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),BAHIA,2265155.562,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),MINAS GERAIS,408005.863,2015-01-01,m3
ÓLEO DIESEL S-500 (m3),ESPÍRITO SANTO,50399.896,2015-01-01,m3
