product,uf,volume,year_month,unit
GASOLINA C (m3),GOIÁS,67844.61,2002-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,54537.718,2002-01-01,m3
GASOLINA C (m3),RONDÔNIA,12687.923,2003-01-01,m3
GASOLINA C (m3),ACRE,3963.002,2003-01-01,m3
GASOLINA C (m3),AMAZONAS,23330.35,2003-01-01,m3
GASOLINA C (m3),RORAIMA,4258.399,2003-01-01,m3
GASOLINA C (m3),PARÁ,28451.245,2003-01-01,m3
GASOLINA C (m3),AMAPÁ,4286.4,2003-01-01,m3
GASOLINA C (m3),TOCANTINS,7281.356,2003-01-01,m3
GASOLINA C (m3),MARANHÃO,16326.714,2003-01-01,m3
GASOLINA C (m3),PIAUÍ,10191.948,2003-01-01,m3
GASOLINA C (m3),CEARÁ,42444.828,2003-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,218671.982,2003-01-01,m3
GASOLINA C (m3),PARAÍBA,25145.413,2003-01-01,m3
GASOLINA C (m3),PERNAMBUCO,48933.414,2003-01-01,m3
GASOLINA C (m3),ALAGOAS,14358.817,2003-01-01,m3
GASOLINA C (m3),SERGIPE,12697.061,2003-01-01,m3
GASOLINA C (m3),BAHIA,71467.643,2003-01-01,m3
GASOLINA C (m3),MINAS GERAIS,198950.87,2003-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,32276.46,2003-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,151298.069,2003-01-01,m3
GASOLINA C (m3),SÃO PAULO,532955.359,2003-01-01,m3
GASOLINA C (m3),PARANÁ,106600.294,2003-01-01,m3
GASOLINA C (m3),SANTA CATARINA,92750.8,2003-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,156967.464,2003-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,302352.311,2003-01-01,m3
GASOLINA C (m3),MATO GROSSO,31900.431,2003-01-01,m3
GASOLINA C (m3),GOIÁS,67421.569,2003-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,59741.044,2003-01-01,m3
GASOLINA C (m3),RONDÔNIA,15013.158,2004-01-01,m3
GASOLINA C (m3),ACRE,4362.524,2004-01-01,m3
GASOLINA C (m3),AMAZONAS,25590.409,2004-01-01,m3
GASOLINA C (m3),RORAIMA,3713.6,2004-01-01,m3
GASOLINA C (m3),PARÁ,29107.775,2004-01-01,m3
GASOLINA C (m3),AMAPÁ,4844.4,2004-01-01,m3
GASOLINA C (m3),TOCANTINS,9700.949,2004-01-01,m3
GASOLINA C (m3),MARANHÃO,18983.836,2004-01-01,m3
GASOLINA C (m3),PIAUÍ,13207.436,2004-01-01,m3
GASOLINA C (m3),CEARÁ,503268.744,2004-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,24192.259,2004-01-01,m3
GASOLINA C (m3),PARAÍBA,22355.233,2004-01-01,m3
GASOLINA C (m3),PERNAMBUCO,55188.112,2004-01-01,m3
GASOLINA C (m3),ALAGOAS,15094.35,2004-01-01,m3
GASOLINA C (m3),SERGIPE,13473.737,2004-01-01,m3
GASOLINA C (m3),BAHIA,81976.188,2004-01-01,m3
GASOLINA C (m3),MINAS GERAIS,200467.832,2004-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,30255.883,2004-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,157165.784,2004-01-01,m3
GASOLINA C (m3),SÃO PAULO,590699.89,2004-01-01,m3
GASOLINA C (m3),PARANÁ,119383.604,2004-01-01,m3
GASOLINA C (m3),SANTA CATARINA,114036.549,2004-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,1964302.476,2004-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,31147.641,2004-01-01,m3
GASOLINA C (m3),MATO GROSSO,31258.547,2004-01-01,m3
GASOLINA C (m3),GOIÁS,74040.858,2004-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,61216.579,2004-01-01,m3
GASOLINA C (m3),RONDÔNIA,15862.505,2005-01-01,m3
GASOLINA C (m3),ACRE,4356.252,2005-01-01,m3
GASOLINA C (m3),AMAZONAS,20474.571,2005-01-01,m3
GASOLINA C (m3),RORAIMA,3580.1,2005-01-01,m3
GASOLINA C (m3),PARÁ,31598.509,2005-01-01,m3
GASOLINA C (m3),AMAPÁ,4870.05,2005-01-01,m3
GASOLINA C (m3),TOCANTINS,8933.688,2005-01-01,m3
GASOLINA C (m3),MARANHÃO,23351.776,2005-01-01,m3
GASOLINA C (m3),PIAUÍ,173735.648,2005-01-01,m3
GASOLINA C (m3),CEARÁ,49862.67,2005-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,21087.66,2005-01-01,m3
